id,output,gt,text
0,null,null,"""Sample 0 training sample - Nike jeans and shoes"""
1,null,null,"""Sample 0 training sample - Adidas pants and sweaters"""
2,null,null,"""Sample 0 training sample - Puma sweaters and tshirts"""
3,null,null,"""Sample 0 training sample - Bata jeans and jeans"""
4,null,null,"""Sample 100 training sample - Nike socks and shoes"""
5,null,null,"""Sample 100 training sample - Adidas shoes and jeans"""
6,null,null,"""Sample 100 training sample - Puma sweaters and sweaters"""
7,null,null,"""Sample 100 training sample - Bata shoes and sweaters"""
8,null,null,"""Sample 200 training sample - Nike socks and sweaters"""
9,null,null,"""Sample 200 training sample - Adidas football and pants"""
10,null,null,"""Sample 200 training sample - Puma shoes and tshirts"""
11,null,null,"""Sample 200 training sample - Bata socks and hoodies"""
12,null,null,"""Sample 300 training sample - Nike pants and tshirts"""
13,null,null,"""Sample 300 training sample - Adidas sweaters and hoodies"""
14,null,null,"""Sample 300 training sample - Puma jeans and jeans"""
15,null,null,"""Sample 300 training sample - Bata socks and jeans"""
16,null,null,"""Sample 400 training sample - Nike hoodies and hoodies"""
17,null,null,"""Sample 400 training sample - Adidas pants and shoes"""
18,null,null,"""Sample 400 training sample - Puma football and jeans"""
19,null,null,"""Sample 400 training sample - Bata socks and jeans"""
20,null,null,"""Sample 500 training sample - Nike pants and hoodies"""
21,null,null,"""Sample 500 training sample - Adidas sweaters and jeans"""
22,null,null,"""Sample 500 training sample - Puma shoes and sweaters"""
23,null,null,"""Sample 500 training sample - Bata pants and jeans"""
24,null,null,"""Sample 600 training sample - Nike sweaters and jeans"""
25,null,null,"""Sample 600 training sample - Adidas socks and pants"""
26,null,null,"""Sample 600 training sample - Puma football and hoodies"""
27,null,null,"""Sample 600 training sample - Bata tshirts and hoodies"""
28,null,null,"""Sample 700 training sample - Nike hoodies and sweaters"""
29,null,null,"""Sample 700 training sample - Adidas pants and jeans"""
30,null,null,"""Sample 700 training sample - Puma tshirts and sweaters"""
31,null,null,"""Sample 700 training sample - Bata tshirts and football"""
32,null,null,"""Sample 800 training sample - Nike socks and pants"""
33,null,null,"""Sample 800 training sample - Adidas sweaters and hoodies"""
34,null,null,"""Sample 800 training sample - Puma shoes and sweaters"""
35,null,null,"""Sample 800 training sample - Bata shoes and hoodies"""
36,null,null,"""Sample 900 training sample - Nike socks and pants"""
37,null,null,"""Sample 900 training sample - Adidas jeans and sweaters"""
38,null,null,"""Sample 900 training sample - Puma hoodies and sweaters"""
39,null,null,"""Sample 900 training sample - Bata football and socks"""
40,null,null,"""Sample 1000 training sample - Nike football and tshirts"""
41,null,null,"""Sample 1000 training sample - Adidas pants and tshirts"""
42,null,null,"""Sample 1000 training sample - Puma sweaters and pants"""
43,null,null,"""Sample 1000 training sample - Bata socks and socks"""
44,null,null,"""Sample 1100 training sample - Nike hoodies and sweaters"""
45,null,null,"""Sample 1100 training sample - Adidas tshirts and football"""
46,null,null,"""Sample 1100 training sample - Puma jeans and shoes"""
47,null,null,"""Sample 1100 training sample - Bata jeans and tshirts"""
48,null,null,"""Sample 1200 training sample - Nike tshirts and socks"""
49,null,null,"""Sample 1200 training sample - Adidas jeans and socks"""
50,null,null,"""Sample 1200 training sample - Puma socks and football"""
51,null,null,"""Sample 1200 training sample - Bata pants and shoes"""
52,null,null,"""Sample 1300 training sample - Nike jeans and pants"""
53,null,null,"""Sample 1300 training sample - Adidas hoodies and jeans"""
54,null,null,"""Sample 1300 training sample - Puma pants and socks"""
55,null,null,"""Sample 1300 training sample - Bata tshirts and football"""
56,null,null,"""Sample 1400 training sample - Nike shoes and pants"""
57,null,null,"""Sample 1400 training sample - Adidas tshirts and jeans"""
58,null,null,"""Sample 1400 training sample - Puma pants and sweaters"""
59,null,null,"""Sample 1400 training sample - Bata tshirts and hoodies"""
60,null,null,"""Sample 1500 training sample - Nike tshirts and shoes"""
61,null,null,"""Sample 1500 training sample - Adidas hoodies and football"""
62,null,null,"""Sample 1500 training sample - Puma shoes and jeans"""
63,null,null,"""Sample 1500 training sample - Bata hoodies and pants"""
64,null,null,"""Sample 1600 training sample - Nike sweaters and shoes"""
65,null,null,"""Sample 1600 training sample - Adidas sweaters and jeans"""
66,null,null,"""Sample 1600 training sample - Puma jeans and football"""
67,null,null,"""Sample 1600 training sample - Bata jeans and tshirts"""
68,null,null,"""Sample 1700 training sample - Nike tshirts and football"""
69,null,null,"""Sample 1700 training sample - Adidas tshirts and pants"""
70,null,null,"""Sample 1700 training sample - Puma socks and sweaters"""
71,null,null,"""Sample 1700 training sample - Bata sweaters and pants"""
72,null,null,"""Sample 1800 training sample - Nike socks and hoodies"""
73,null,null,"""Sample 1800 training sample - Adidas football and football"""
74,null,null,"""Sample 1800 training sample - Puma jeans and sweaters"""
75,null,null,"""Sample 1800 training sample - Bata sweaters and jeans"""
76,null,null,"""Sample 1900 training sample - Nike hoodies and shoes"""
77,null,null,"""Sample 1900 training sample - Adidas sweaters and sweaters"""
78,null,null,"""Sample 1900 training sample - Puma shoes and jeans"""
79,null,null,"""Sample 1900 training sample - Bata shoes and sweaters"""
80,null,null,"""Sample 2000 training sample - Nike jeans and shoes"""
81,null,null,"""Sample 2000 training sample - Adidas hoodies and jeans"""
