id,output,gt,text
0,null,null,"""Sample 0 training sample - Nike pants and football"""
4,null,null,"""Sample 100 training sample - Nike football and socks"""
8,null,null,"""Sample 200 training sample - Nike hoodies and football"""
12,null,null,"""Sample 300 training sample - Nike pants and football"""
16,null,null,"""Sample 400 training sample - Nike tshirts and hoodies"""
20,null,null,"""Sample 500 training sample - Nike tshirts and socks"""
24,null,null,"""Sample 600 training sample - Nike shoes and hoodies"""
28,null,null,"""Sample 700 training sample - Nike football and pants"""
32,null,null,"""Sample 800 training sample - Nike tshirts and tshirts"""
36,null,null,"""Sample 900 training sample - Nike pants and hoodies"""
40,null,null,"""Sample 1000 training sample - Nike pants and sweaters"""
44,null,null,"""Sample 1100 training sample - Nike hoodies and hoodies"""
48,null,null,"""Sample 1200 training sample - Nike football and football"""
52,null,null,"""Sample 1300 training sample - Nike jeans and hoodies"""
56,null,null,"""Sample 1400 training sample - Nike shoes and football"""
60,null,null,"""Sample 1500 training sample - Nike jeans and pants"""
64,null,null,"""Sample 1600 training sample - Nike hoodies and shoes"""
68,null,null,"""Sample 1700 training sample - Nike football and tshirts"""
72,null,null,"""Sample 1800 training sample - Nike shoes and socks"""
76,null,null,"""Sample 1900 training sample - Nike jeans and jeans"""
80,null,null,"""Sample 2000 training sample - Nike jeans and sweaters"""
84,null,null,"""Sample 2100 training sample - Nike hoodies and sweaters"""
88,null,null,"""Sample 2200 training sample - Nike jeans and pants"""
92,null,null,"""Sample 2300 training sample - Nike football and hoodies"""
96,null,null,"""Sample 2400 training sample - Nike tshirts and jeans"""
100,null,null,"""Sample 2500 training sample - Nike pants and pants"""
104,null,null,"""Sample 2600 training sample - Nike tshirts and pants"""
108,null,null,"""Sample 2700 training sample - Nike sweaters and socks"""
112,null,null,"""Sample 2800 training sample - Nike jeans and sweaters"""
116,null,null,"""Sample 2900 training sample - Nike shoes and jeans"""
120,null,null,"""Sample 3000 training sample - Nike sweaters and football"""
124,null,null,"""Sample 3100 training sample - Nike football and shoes"""
128,null,null,"""Sample 3200 training sample - Nike hoodies and socks"""
132,null,null,"""Sample 3300 training sample - Nike shoes and shoes"""
136,null,null,"""Sample 3400 training sample - Nike sweaters and tshirts"""
140,null,null,"""Sample 3500 training sample - Nike hoodies and jeans"""
144,null,null,"""Sample 3600 training sample - Nike pants and hoodies"""
148,null,null,"""Sample 3700 training sample - Nike socks and jeans"""
152,null,null,"""Sample 3800 training sample - Nike tshirts and football"""
156,null,null,"""Sample 3900 training sample - Nike football and jeans"""
160,null,null,"""Sample 4000 training sample - Nike sweaters and hoodies"""
164,null,null,"""Sample 4100 training sample - Nike hoodies and hoodies"""
168,null,null,"""Sample 4200 training sample - Nike pants and tshirts"""
172,null,null,"""Sample 4300 training sample - Nike tshirts and jeans"""
176,null,null,"""Sample 4400 training sample - Nike sweaters and shoes"""
180,null,null,"""Sample 4500 training sample - Nike shoes and jeans"""
184,null,null,"""Sample 4600 training sample - Nike sweaters and hoodies"""
188,null,null,"""Sample 4700 training sample - Nike sweaters and football"""
192,null,null,"""Sample 4800 training sample - Nike sweaters and sweaters"""
196,null,null,"""Sample 4900 training sample - Nike hoodies and sweaters"""
200,null,null,"""Sample 5000 training sample - Nike socks and sweaters"""
204,null,null,"""Sample 5100 training sample - Nike tshirts and jeans"""
208,null,null,"""Sample 5200 training sample - Nike socks and hoodies"""
212,null,null,"""Sample 5300 training sample - Nike jeans and socks"""
216,null,null,"""Sample 5400 training sample - Nike pants and sweaters"""
220,null,null,"""Sample 5500 training sample - Nike jeans and socks"""
224,null,null,"""Sample 5600 training sample - Nike shoes and jeans"""
228,null,null,"""Sample 5700 training sample - Nike socks and hoodies"""
232,null,null,"""Sample 5800 training sample - Nike football and hoodies"""
236,null,null,"""Sample 5900 training sample - Nike football and pants"""
240,null,null,"""Sample 6000 training sample - Nike socks and football"""
244,null,null,"""Sample 6100 training sample - Nike football and socks"""
248,null,null,"""Sample 6200 training sample - Nike jeans and tshirts"""
252,null,null,"""Sample 6300 training sample - Nike jeans and football"""
256,null,null,"""Sample 6400 training sample - Nike jeans and jeans"""
260,null,null,"""Sample 6500 training sample - Nike shoes and jeans"""
264,null,null,"""Sample 6600 training sample - Nike sweaters and hoodies"""
268,null,null,"""Sample 6700 training sample - Nike sweaters and hoodies"""
272,null,null,"""Sample 6800 training sample - Nike socks and socks"""
276,null,null,"""Sample 6900 training sample - Nike socks and football"""
280,null,null,"""Sample 7000 training sample - Nike jeans and socks"""
284,null,null,"""Sample 7100 training sample - Nike pants and tshirts"""
288,null,null,"""Sample 7200 training sample - Nike sweaters and tshirts"""
292,null,null,"""Sample 7300 training sample - Nike pants and tshirts"""
296,null,null,"""Sample 7400 training sample - Nike football and jeans"""
300,null,null,"""Sample 7500 training sample - Nike jeans and football"""
304,null,null,"""Sample 7600 training sample - Nike shoes and tshirts"""
