id,output,gt,text
0,null,null,"""Sample 0 training sample - Nike pants and football"""
1,null,null,"""Sample 0 training sample - Adidas tshirts and pants"""
2,null,null,"""Sample 0 training sample - Puma sweaters and sweaters"""
3,null,null,"""Sample 0 training sample - Bata socks and jeans"""
4,null,null,"""Sample 100 training sample - Nike football and socks"""
5,null,null,"""Sample 100 training sample - Adidas hoodies and hoodies"""
6,null,null,"""Sample 100 training sample - Puma pants and hoodies"""
7,null,null,"""Sample 100 training sample - Bata pants and sweaters"""
8,null,null,"""Sample 200 training sample - Nike hoodies and football"""
9,null,null,"""Sample 200 training sample - Adidas socks and sweaters"""
10,null,null,"""Sample 200 training sample - Puma tshirts and football"""
11,null,null,"""Sample 200 training sample - Bata socks and pants"""
12,null,null,"""Sample 300 training sample - Nike pants and football"""
13,null,null,"""Sample 300 training sample - Adidas pants and hoodies"""
14,null,null,"""Sample 300 training sample - Puma shoes and pants"""
15,null,null,"""Sample 300 training sample - Bata sweaters and jeans"""
16,null,null,"""Sample 400 training sample - Nike tshirts and hoodies"""
17,null,null,"""Sample 400 training sample - Adidas hoodies and hoodies"""
18,null,null,"""Sample 400 training sample - Puma hoodies and football"""
19,null,null,"""Sample 400 training sample - Bata pants and jeans"""
20,null,null,"""Sample 500 training sample - Nike tshirts and socks"""
21,null,null,"""Sample 500 training sample - Adidas sweaters and socks"""
22,null,null,"""Sample 500 training sample - Puma football and pants"""
23,null,null,"""Sample 500 training sample - Bata pants and football"""
24,null,null,"""Sample 600 training sample - Nike shoes and hoodies"""
25,null,null,"""Sample 600 training sample - Adidas sweaters and pants"""
26,null,null,"""Sample 600 training sample - Puma tshirts and jeans"""
27,null,null,"""Sample 600 training sample - Bata sweaters and socks"""
28,null,null,"""Sample 700 training sample - Nike football and pants"""
29,null,null,"""Sample 700 training sample - Adidas sweaters and jeans"""
30,null,null,"""Sample 700 training sample - Puma socks and tshirts"""
31,null,null,"""Sample 700 training sample - Bata football and hoodies"""
32,null,null,"""Sample 800 training sample - Nike tshirts and tshirts"""
33,null,null,"""Sample 800 training sample - Adidas socks and tshirts"""
34,null,null,"""Sample 800 training sample - Puma tshirts and jeans"""
35,null,null,"""Sample 800 training sample - Bata tshirts and pants"""
36,null,null,"""Sample 900 training sample - Nike pants and hoodies"""
37,null,null,"""Sample 900 training sample - Adidas jeans and jeans"""
